software_category,software_down,software_name
browsers,4800,Google Chrome 
browsers,1800,Opera Browser 
browsers,2300,UC Browser 
browsers,200,Google Input Tools 
browsers,4400,Mozilla Firefox 
browsers,300,Google Play Chrome Extension 
browsers,200,Microsoft Edge 
browsers,1700,Google Chrome (64-bit) 
browsers,100,Internet Explorer 
browsers,200,Internet Explorer 11 for Windows 7 
browsers,400,Internet Explorer 7 
browsers,200,Tor Browser 
browsers,500,Baidu Browser 
browsers,1000,Internet Explorer 9 
browsers,900,Internet Explorer 8 
browsers,500,Internet Explorer 10 for Windows 7 
browsers,44.6,SaveFrom.net Helper 
browsers,200,Adobe ShockWave Player 
browsers,15.9,SnipIT 
browsers,54.1,Epic Privacy Browser 
browsers,200,Adblock 
browsers,21.8,Chromium 
browsers,100,Unity Web Player 
browsers,400,Torch Browser 
browsers,44.3,Facebook Chat Notification 
browsers,200,Internet Explorer 9 64-bit 
browsers,39.6,Google Search for Windows 10 
browsers,300,Google Chrome Beta 
browsers,41.1,Internet Explorer 10 for Windows 7 
browsers,500,Mozilla Firefox 3 
browsers,91.9,Internet Explorer 6 
browsers,6.1,Côc Côc Browser 
browsers,38.3,Netscape Navigator 
browsers,21.2,Yandex.Browser 
browsers,200,Instagram for Chrome 
browsers,9.8,Google Keep 
browsers,9.5,Brave 
browsers,56.5,AOL 
browsers,44.9,Timeline Remove 
browsers,5.1,Waterfox 
browsers,11.6,Google Earth Plugin 
browsers,7.2,Adblock for Youtube 
browsers,80.4,Firefox 
browsers,44.1,FireBug 
browsers,66.9,Adblock Plus for Firefox 
browsers,17.5,SeaMonkey 
browsers,8.0,Multiple Tools for Facebook 
browsers,10.8,FireShot 
browsers,9.4,Pale Moon 
browsers,9.5,UCBrowser UWP 
browsers,80.1,Mozilla Firefox Beta 
browsers,52.6,Superbird Browser 
browsers,58.5,Maxthon MX5 Cloud Browser 
browsers,50.4,MyPublicWiFi 
browsers,8.2,anonymoX for Chrome 
browsers,31.7,Windows Media Player Plugin 
browsers,80.9,TweetDeck 
browsers,18.0,Polarity Browser 
browsers,27.4,Bing Bar 
browsers,100,Google Chrome Dev 
browsers,25.8,Google Mail Checker 
browsers,5.2,Midori 
browsers,16.9,Chrome App Launcher 
browsers,100,anonymoX 
browsers,5.5,User-Agent Switcher 
browsers,16.8,IETester 
browsers,24.8,UltraSurf Firefox Tool 
browsers,7.3,Timeline Remove 
browsers,30.6,Greasemonkey 
browsers,9.6,Netscape 
browsers,18.5,PirateBrowser 
browsers,27.7,Avant Browser 
browsers,5.4,FireFTP 
browsers,26.9,BlackHawk Web Browser 
browsers,13.3,GreenBrowser 
browsers,6.3,PDF Download 
browsers,36.1,Flock 
browsers,19.7,Internet Explorer 9 for Vista (64 bit) 
browsers,76.1,Comodo Dragon 
browsers,5.3,Mustang Browser 
browsers,10.8,DownThemAll! 
browsers,55.4,Firefox Nightly 
browsers,11.7,Stylish 
browsers,17.1,Bing for Firefox 
browsers,5.4,Firefox Preloader 
browsers,82.6,CoolNovo 
browsers,11.1,SpeedyFox 
browsers,29.9,Firefox Portable 
browsers,100,Firefox 1 
browsers,13.9,Social for Twitter 
browsers,9.7,TheWorld Browser 
browsers,13.5,Arora 
browsers,28.8,Ask.com Toolbar 
browsers,68.7,Google Chrome for Business 
browsers,18.4,Google Toolbar for Firefox 
browsers,15.8,Adblock Plus for Internet Explorer 
browsers,27.8,CometBird 
security-privacy,2800,Avast Free Antivirus 
security-privacy,500,Advanced SystemCare Ultimate 
security-privacy,200,Psiphon 
security-privacy,81.8,Windows Defender 
security-privacy,1900,Hotspot Shield 
security-privacy,100,Free VPN 
security-privacy,200,Microsoft Security Essentials 
security-privacy,200,Folder Lock 
security-privacy,16.2,ApowerMirror 
security-privacy,9.6,TouchVPN 
security-privacy,7.4,IPVanish 
security-privacy,18.4,NordVPN 
security-privacy,24.4,ExpressVPN 
security-privacy,25.6,Cisco AnyConnect Secure Mobility Client 
security-privacy,200,Malwarebytes Anti-Malware 
security-privacy,15.1,Quick Heal AntiVirus Pro 
security-privacy,58.4,Kaspersky Internet Security 
security-privacy,100,Betternet Free VPN 
security-privacy,24.9,Folder Password Lock Pro 
security-privacy,22.9,HMA! Pro VPN 
security-privacy,300,Adblock Plus for Chrome 
security-privacy,12.7,Private Internet Access 
security-privacy,200,Norton Security Deluxe 
security-privacy,1500,AVG AntiVirus Free 
security-privacy,200,Kaspersky Anti-Virus 
security-privacy,16.8,SetupVPN - Lifetime Free VPN 
security-privacy,100,McAfee AntiVirus Plus 
security-privacy,39.9,Sandboxie 
security-privacy,300,360 Total Security 
security-privacy,5.5,K9 Web Protection 
security-privacy,25.1,Windscribe 
security-privacy,100,Panda Free Antivirus 
security-privacy,46.6,McAfee Total Protection 
security-privacy,10.0,FortiClient 
security-privacy,200,Hola Unlimited Free VPN 
security-privacy,7.3,Hotspot Shield VPN Free Proxy – Unblock Sites (Chrome Extension) 
security-privacy,81.1,Cyberghost VPN 
security-privacy,15.1,Hoxx VPN Proxy 
security-privacy,100,Free Keylogger 
security-privacy,33.7,TunnelBear 
security-privacy,100,SpyBot Search & Destroy 
security-privacy,45.0,AppLocker 
security-privacy,14.3,Browsec VPN - Free and Unlimited VPN 
security-privacy,600,UltraSurf 
security-privacy,8.9,Free VPN by VeePN 
security-privacy,45.7,Password Cracker 
security-privacy,8.4,Chrome Cleanup Tool 
security-privacy,8.5,Globus VPN Browser 
security-privacy,47.5,WiFi Password Decryptor 
security-privacy,5.5,Panda VPN 
security-privacy,600,IObit Malware Fighter 
security-privacy,14.6,Smadav Antivirus 2016 
security-privacy,12.2,Windows Defender Offline 
security-privacy,9.6,LocK-A-FoLdeR 
security-privacy,700,Avira Free Antivirus 
security-privacy,21.5,LightLogger Keylogger 
security-privacy,16.8,Mobizen 
security-privacy,13.2,FingerPrint 
security-privacy,6.5,ZenMate Desktop VPN 
security-privacy,14.3,Wise Folder Hider 
security-privacy,23.0,Avast Premium Security 
security-privacy,16.0,Free KeyLogger 
security-privacy,29.8,LicenseCrawler 
security-privacy,100,Quick Heal Anti-Virus 
security-privacy,60.7,Baidu Antivirus 
security-privacy,9.2,WinRAR Remover 
security-privacy,17.3,Free Rar password unlocker 
